id,title,likes,comments,shares,pageviews,uniques
a,A,,,,48301,33940
a.2012,Dvije tisuće dvanaesta,27,2,4,2271,2152
a.anegdote,Sedam razloga zašto anegdote varaju,95,30,61,3346,3022
a.balerina,Balerina,16,1,13,2611,2231
a.biti-u-krivu,Biti u krivu,99,13,34,3288,2940
a.breksperti,Breksperti i breznalice,306,239,46,2159,1955
a.btest,Kako interpretirati rezultate testa?,12,3,7,6198,5414
a.clarke911,Arthur C Clarke - prorok 9/11,29,13,12,989,882
a.crt,Jeste li pametniji od osnovnoškolca?,2029,3483,1133,88869,69154
a.dhmo,Dihidrogen monoksid ubija!,561,313,429,20117,17445
a.dhw1,Mrak pseudoznanosti,114,13,28,1818,1536
a.dva-cetiri-sest,Dva četiri šest,53,26,21,5885,5047
a.dva-lica-znanosti,Dva lica znanosti,14,1,2,476,411
a.esa,Elementarni stanični automati,19,0,5,804,700
a.eurobarometar-kviz,Eurobarometar i opće znanje prirodnih znanosti,25,17,24,6580,5007
a.ezopedija,Što se čita na Wikipediji?,9,1,15,1298,1157
a.feynman-kljuc,Feynman: Ključ znanosti,56,10,17,2977,2694
a.feynman-ljepota,Feynman o ljepoti,37,11,36,1230,1079
a.feynman-napad,Feynman: Moramo napasti stvari u koje ne vjerujemo,77,22,27,1581,1409
a.feynman-nesigurnost,Feynman o nesigurnosti,16,8,11,2262,2027
a.feynman-stvarnost,Feynman: Odite negdje drugdje!,17,3,5,1405,1241
a.flaskola,Flaškola,251,126,59,4305,3883
a.homeopatija-prispodoba,Prispodoba o homeopatiji,52,18,33,4760,4212
a.izazov-homeopatije,Izazov homeopatije,100,40,28,5396,4815
a.jantarne-ogrlice,Jantarne ogrlice,79,28,44,4561,4094
a.kanc-rez,Što mislimo da je kancerogeno?,25,11,9,1255,987
a.kancerogeno,Pogodi što je kancerogeno,199,50,59,3318,2922
a.kontroverza,Je li evolucija dokazana?,22,20,16,4128,3447
a.korelacija,Korelacija,43,10,22,2369,2153
a.lice-nevolje,Lice nevolje,43,4,18,629,571
a.nevjerojatne-slucajnosti,Nevjerojatne slučajnosti,145,29,73,8122,7198
a.nrz,Na rubu javne televizije,207,199,51,2354,2084
a.potres-u-sudnici,Potres u sudnici,34,3,7,781,716
a.povratak-srednjim-vrijednostima,Povratak srednjim vrijednostima,13,2,15,1870,1623
a.prezivjeli,Učite od neuspješnih,388,90,85,5053,4056
a.razlozi-i-izgovori,Razlozi i izgovori,130,21,37,1656,1551
a.sahovnica-u-sjeni,Šahovska ploča u sjeni,25,14,18,2230,1968
a.sally-clark,Tužni slučaj Sally Clark,19,1,8,1141,1021
a.samoubojstvo-statistikom,Samoubojstvo statistikom,8,0,20,1910,1719
a.semmelweis,Čudnovati slučaj Ignaza Semmelweisa,96,8,14,1332,1185
a.sest-lakih-pitanja,Šest lakih pitanja,30,9,8,5268,4238
a.sierpinski,Trokut u trokutu,22,5,2,1336,1073
a.simpsonov-paradoks,Simpsonov paradoks,5,4,5,2763,2537
a.skeptik,Što znači biti skeptik?,149,53,55,27349,25376
a.smrad,Tekst ti smrdi,82,10,26,912,817
a.stanje-svijeta,Stanje svijeta,62,34,37,3207,2732
a.storm,Storm,47,10,17,857,740
a.teorija-oborina,Teorija hidrološkog ciklusa,129,14,20,934,847
a.test-pamcenja,Test pamćenja,148,29,66,15998,10785
a.test-samopouzdanja,Testirajte svoje samopouzdanje,31,11,24,12366,10039
a.tko-je-za,Tko je za?,208,202,90,4655,4350
a.uzmi-ili-ostavi,Zadrži ili zamjeni,37,34,18,12932,10919
a.video-statistika,Varljiva statistika na televiziji,101,1,18,1495,1246
a.wason,Kartaška zagonetka,34,5,16,13186,7711
a.zabe,Žablja posla,21,5,3,232,211
a.zasto-ne-probas,Zašto ne probaš?,96,14,18,1160,1027
a.zasto-ti-ne-vjerujem,Zašto ti ne vjerujem,132,65,32,1315,1223
a.zasto-to-seras,Zašto to šeraš?,1150,265,315,8329,7735
